2025-06-14 12:27:22.292 python[63901:313770] Metal API Validation Enabled
         165505 function calls (161963 primitive calls) in 0.196 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      370    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
    56/15    0.000    0.000    0.001    0.000 typing.py:1452(__getitem__)
       17    0.001    0.000    0.001    0.000 enum.py:1749(convert_class)
        1    0.000    0.000    0.001    0.001 reduction.py:1(<module>)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
    10096    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 staggered.py:1(<module>)
1367/1332    0.000    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1012940e8}
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
    19332    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       29    0.000    0.000    0.001    0.000 enum.py:498(__new__)
      600    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.001    0.001 distributed.py:1(<module>)
      230    0.000    0.000    0.001    0.000 overrides.py:83(verify_matching_signatures)
     2490    0.000    0.000    0.001    0.000 typing.py:1122(_is_unpacked_typevartuple)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      276    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      599    0.001    0.000    0.001    0.000 typing.py:1813(__hash__)
      397    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
     1698    0.000    0.000    0.001    0.000 typing.py:1368(__setattr__)
      297    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       21    0.000    0.000    0.001    0.000 _compiler.py:576(_code)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        2    0.000    0.000    0.001    0.000 subprocess.py:1(<module>)
       27    0.000    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
    56/15    0.000    0.000    0.001    0.000 typing.py:1483(_determine_new_args)
      311    0.000    0.000    0.001    0.000 function_base.py:487(add_newdoc)
    56/15    0.000    0.000    0.001    0.000 typing.py:1512(_make_substitution)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _add_newdocs.py:1(<module>)
     2733    0.000    0.000    0.001    0.000 typing.py:1294(_is_dunder)
      371    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
